,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
949,75736,7000000,"[18, 28, 53]","['Drama', 'Action', 'Thriller']",tt1886493,"[41968, 10405, 6692, 32168]","['Sakonnet Capital Partners', 'EFO Films', 'Benaroya Pictures', 'Waterfall Media']",12/8/11,0,93,Catch.44,R,1 hr 34 min,Action Thriller,Catch .44 (2011),,,"February 23, 2012 (United Arab Emirates)",0,291742,291742.0,,2011,7000000,291742
950,73315,1000000,"[18, 35]","['Drama', 'Comedy']",tt1886526,[3707],['The Film Factory'],6/24/11,0,95,Ek Joke Net,,1 hr 36 min,Comedy,Ek Joke Net (2011),,,"June 24, 2011 (South Africa)",0,170432,170432.0,,2011,1000000,170432
951,83983,0,[18],['Drama'],tt1889457,[99361],['Liwanag ng Kapayapaan Foundation Philippines'],4/6/11,0,0,"Tum, My Pledge of Love",,1 hr 55 min,Drama,Tum: My Pledge of Love (2011),,,"April 6, 2011 (Philippines)",0,119580,119580.0,,2011,100000,119580
952,138496,0,"[27, 878, 9648, 53]","['Horror', 'Science Fiction', 'Mystery', 'Thriller']",tt1890375,"[115035, 22860, 121250]","['MakerFilms', 'Wolf Creek Pictures', 'Wicked of Oz Studios']",5/1/12,0,89,Crawlspace,,1 hr 26 min,Action Horror Mystery Sci-Fi Thriller,Crawlspace (2012),,,"November 9, 2012 (United Kingdom)",0,151103,151103.0,,2012,100000,151103
953,69224,0,[99],['Documentary'],tt1891806,[],[],5/10/11,0,0,From the Ashes,,1 hr 32 min,Documentary Sport,From the Ashes (2011),,,"May 6, 2011 (United Kingdom)",0,28269,28269.0,,2011,100000,28269
954,12693,0,[18],['Drama'],tt1891894,[859],['Saga Film'],3/28/12,0,93,Rondo,,1 hr 30 min,Drama,Rondo (2012),,,"June 24, 2009 (France)",0,2979,2979.0,,2012,100000,2979
955,105528,0,"[18, 10751]","['Drama', 'Family']",tt1894561,[],[],5/25/12,120680,92,Cowgirls n' Angels,PG,1 hr 32 min,Adventure Drama Family,Cowgirls 'n Angels (2012),The Samuel Goldwyn Company,54675.0,"May 25, 2012 (Domestic)",0,120680,120680.0,,2012,100000,120680
956,81167,0,[99],['Documentary'],tt1895299,"[62702, 12007, 12323, 7407]","['Whyaduck Productions', 'RAT Entertainment', ""Mike's Movies"", 'Insurgent Docs']",11/20/11,0,192,Woody Allen: A Documentary,,3 hr 12 min,Biography Documentary Music,Woody Allen: A Documentary (2011),,,"May 30, 2012 (France)",0,778621,778621.0,,2011,100000,778621
957,93011,2000000,[35],['Comedy'],tt1899240,[],[],2/9/12,0,94,Material,,1 hr 34 min,Comedy Drama,Material (2012),,,"February 17, 2012 (South Africa)",0,998291,998291.0,,2012,2000000,998291
958,166452,16000000,"[36, 12, 18]","['History', 'Adventure', 'Drama']",tt1899285,"[36299, 26261, 1583, 1726]","['Agresywna Banda', 'Film Commission Torino Piemonte', 'RAI', 'Martinelli Film Company International']",10/11/12,0,114,Day of the Siege,R,1 hr 54 min,Drama History War,Day of the Siege (2012),,,"October 12, 2012 (Poland)",0,2143479,2143479.0,,2012,16000000,2143479
