ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
65583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,10,190,496,486,332,198,244,324,429,470,433,232,283,204
58,0,0,0,0,0,0,0,0,0,0,26,33,33,7
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,33,0,33,0,0,0,0,0,0,0,0,0,0,0
65602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65606,0,0,0,0,0,0,0,0,0,0,0,3,3,3
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,135,166,347,324,541,811,1022,745,609,378,272,156,64,64
80,186,0,232,46,46,0,0,0,0,0,0,0,0,0
81,91,0,91,134,168,229,108,74,54,88,88,47,22,22
83,0,0,0,0,0,0,0,0,0,0,17,17,17,0
84,56,0,56,0,0,0,0,0,0,0,0,0,0,0
32853,0,0,0,0,0,0,0,0,0,0,11,11,11,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65623,0,0,0,0,43,43,43,0,0,0,0,0,0,0
65624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,6,6,6
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,122,142,397,275,255,34,63,86,132,103,117,37
131177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65649,0,0,0,0,0,0,0,0,0,0,40,40,40,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,5,5
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
